final_name,batch
FUSCCTNBC258.TT,batch_6
FUSCCTNBC259.TT,batch_29
FUSCCTNBC259.TT,batch_29
FUSCCTNBC260.TT,batch_6
FUSCCTNBC260.TT,batch_6
FUSCCTNBC261.TT,batch_6
FUSCCTNBC261.TT,batch_6
FUSCCTNBC262.TT,batch_6
FUSCCTNBC262.TT,batch_6
FUSCCTNBC263.TT,batch_6
FUSCCTNBC263.TT,batch_6
FUSCCTNBC264.TT,batch_29
FUSCCTNBC264.TT,batch_29
FUSCCTNBC265.TT,batch_20
FUSCCTNBC265.TT,batch_20
FUSCCTNBC266.TT,batch_6
FUSCCTNBC266.TT,batch_6
FUSCCTNBC267.TT,batch_6
FUSCCTNBC267.TT,batch_6
FUSCCTNBC268.TT,batch_29
FUSCCTNBC268.TT,batch_29
FUSCCTNBC270.TT,batch_29
FUSCCTNBC270.TT,batch_29
FUSCCTNBC271.TT,batch_6
FUSCCTNBC271.TT,batch_6
FUSCCTNBC272.TT,batch_20
FUSCCTNBC272.TT,batch_20
FUSCCTNBC273.TT,batch_20
FUSCCTNBC273.TT,batch_20
FUSCCTNBC276.TT,batch_8
FUSCCTNBC276.TT,batch_8
FUSCCTNBC280.TT,batch_13
FUSCCTNBC280.TT,batch_13
FUSCCTNBC282.TT,batch_20
FUSCCTNBC282.TT,batch_20
FUSCCTNBC285.TT,batch_8
FUSCCTNBC285.TT,batch_8
FUSCCTNBC289.TT,batch_29
FUSCCTNBC289.TT,batch_29
FUSCCTNBC290.TT,batch_8
FUSCCTNBC290.TT,batch_8
FUSCCTNBC291.TT,batch_8
FUSCCTNBC291.TT,batch_8
FUSCCTNBC292.TT,batch_8
FUSCCTNBC292.TT,batch_8
FUSCCTNBC293.TT,batch_22
FUSCCTNBC293.TT,batch_22
FUSCCTNBC295.TT,batch_14
FUSCCTNBC295.TT,batch_14
FUSCCTNBC296.TT,batch_8
FUSCCTNBC296.TT,batch_8
FUSCCTNBC297.TT,batch_14
FUSCCTNBC297.TT,batch_14
FUSCCTNBC298.TT,batch_8
FUSCCTNBC298.TT,batch_8
FUSCCTNBC301.TT,batch_22_2
FUSCCTNBC301.TT,batch_22_2
FUSCCTNBC305.TT,batch_8
FUSCCTNBC305.TT,batch_8
FUSCCTNBC306.TT,batch_8
FUSCCTNBC306.TT,batch_8
FUSCCTNBC308.TT,batch_8
FUSCCTNBC308.TT,batch_8
FUSCCTNBC309.TT,batch_20
FUSCCTNBC309.TT,batch_20
FUSCCTNBC310.TT,batch_8
FUSCCTNBC310.TT,batch_8
FUSCCTNBC313.TT,batch_20
FUSCCTNBC313.TT,batch_20
FUSCCTNBC317.TT,batch_8
FUSCCTNBC317.TT,batch_8
FUSCCTNBC320.TT,batch_8
FUSCCTNBC320.TT,batch_8
FUSCCTNBC321.TT,batch_14
FUSCCTNBC321.TT,batch_14
FUSCCTNBC324.TT,batch_14
FUSCCTNBC324.TT,batch_14
FUSCCTNBC325.TT,batch_9
FUSCCTNBC325.TT,batch_9
FUSCCTNBC328.TT,batch_20
FUSCCTNBC328.TT,batch_20
FUSCCTNBC329.TT,batch_22
FUSCCTNBC329.TT,batch_22
FUSCCTNBC330.TT,batch_9
FUSCCTNBC330.TT,batch_9
FUSCCTNBC331.TT,batch_29
FUSCCTNBC331.TT,batch_29
FUSCCTNBC335.TT,batch_29
FUSCCTNBC335.TT,batch_29
FUSCCTNBC337.TT,batch_29
FUSCCTNBC337.TT,batch_29
FUSCCTNBC339.TT,batch_9
FUSCCTNBC339.TT,batch_9
FUSCCTNBC340.TT,batch_20
FUSCCTNBC340.TT,batch_20
